Position,Alias,Stage 1,Stage 2,Total
1,Tobi,192,59,251
2,Elcrack,206,44,250
3,Aardvark,194,54,248
4,Patito goleador legendario,184,59,243
5,PabloL,182,59,241
6,Gol de Catamarancio,192,49,241
7,Das riesengroße Dings-Bums,182,56,238
8,Caro,192,44,236
9,Grogu (baby Yoda),186,49,235
10,Iara!,178,56,234
11,Cage,174,59,233
12,Iaia,172,59,231
13,Julo,176,54,230
14,El chileno,174,56,230
15,Roberto der Alte,170,59,229
16,Mastodonte,180,49,229
17,Deppel,182,44,226
18,Beebee,170,54,224
19,Bernd das Brot,188,35,223
20,Clau,172,51,223
21,Papadopoulus,172,49,221
22,Federico-E,162,59,221
23,Juan,164,54,218
24,Rene Lavan,158,54,212
25,Manfred,162,46,208
26,Tomi,168,39,207
27,Flo,160,47,207
28,Cute ARG,148,56,204
29,Iliana,148,54,202
30,Sofita8,162,39,201
31,Roberto der Breite,150,47,197
32,Federico-A,146,49,195
33,Micaela,150,44,194
34,Connie,148,44,192
35,Ire,140,52,192
36,Maestro Yoda,146,46,192
37,Juaju,152,36,188
38,Rosi,146,39,185
39,Chepa,140,42,182
40,Talocotío,140,39,179
41,Lastima Catamarancio,128,49,177
42,Sean el Koala,130,46,176
43,Angelika,136,34,170
44,Matata Hakuna,122,44,166
45,Hakuna Matata,120,44,164
46,Bittlein75,108,44,152
47,Chepa 2.0,118,31,149
48,Bittlein23,100,49,149
49,Macaco,112,36,148
50,Loyal Sushi,128,18,146
51,Carapotato,102,31,133
