Position,Alias,Stage 1,Stage 2,Total
1,Patito goleador legendario,184,99,283
2,Tobi,192,89,281
3,Elcrack,206,74,280
4,Aardvark,194,84,278
5,PabloL,182,89,271
6,Gol de Catamarancio,192,79,271
7,Das riesengroße Dings-Bums,182,86,268
8,Caro,192,74,266
9,Grogu (baby Yoda),186,79,265
10,Cage,174,89,263
11,Julo,176,84,260
12,El chileno,174,86,260
13,Roberto der Alte,170,89,259
14,Mastodonte,180,79,259
15,Deppel,182,74,256
16,Iara!,178,76,254
17,Bernd das Brot,188,65,253
18,Federico-E,162,89,251
19,Iaia,172,79,251
20,Juan,164,84,248
21,Beebee,170,74,244
22,Clau,172,71,243
23,Rene Lavan,158,84,242
24,Papadopoulus,172,69,241
25,Tomi,168,69,237
26,Federico-A,146,89,235
27,Manfred,162,66,228
28,Micaela,150,74,224
29,Cute ARG,148,76,224
30,Maestro Yoda,146,76,222
31,Iliana,148,74,222
32,Sofita8,162,59,221
33,Roberto der Breite,150,67,217
34,Flo,160,57,217
35,Ire,140,72,212
36,Juaju,152,56,208
37,Lastima Catamarancio,128,79,207
38,Sean el Koala,130,76,206
39,Rosi,146,59,205
40,Connie,148,54,202
41,Chepa,140,62,202
42,Angelika,136,64,200
43,Talocotío,140,59,199
44,Hakuna Matata,120,74,194
45,Matata Hakuna,122,64,186
46,Loyal Sushi,128,48,176
47,Bittlein23,100,69,169
48,Bittlein75,108,54,162
49,Chepa 2.0,118,41,159
50,Macaco,112,46,158
51,Carapotato,102,41,143
