Position,Alias,Stage 1,Stage 2,Total
1,Patito goleador legendario,184,109,293
2,Tobi,192,99,291
3,Elcrack,206,84,290
4,Aardvark,194,94,288
5,Das riesengroße Dings-Bums,182,96,278
6,Grogu (baby Yoda),186,89,275
7,Cage,174,99,273
8,PabloL,182,89,271
9,Gol de Catamarancio,192,79,271
10,Mastodonte,180,89,269
11,Caro,192,74,266
12,Iara!,178,86,264
13,Bernd das Brot,188,75,263
14,El chileno,174,86,260
15,Julo,176,84,260
16,Roberto der Alte,170,89,259
17,Deppel,182,74,256
18,Beebee,170,84,254
19,Iaia,172,79,251
20,Papadopoulus,172,79,251
21,Federico-E,162,89,251
22,Juan,164,84,248
23,Clau,172,71,243
24,Rene Lavan,158,84,242
25,Tomi,168,69,237
26,Federico-A,146,89,235
27,Cute ARG,148,86,234
28,Manfred,162,66,228
29,Flo,160,67,227
30,Roberto der Breite,150,77,227
31,Micaela,150,74,224
32,Ire,140,82,222
33,Iliana,148,74,222
34,Maestro Yoda,146,76,222
35,Sofita8,162,59,221
36,Juaju,152,66,218
37,Rosi,146,69,215
38,Connie,148,64,212
39,Angelika,136,74,210
40,Talocotío,140,69,209
41,Lastima Catamarancio,128,79,207
42,Sean el Koala,130,76,206
43,Hakuna Matata,120,84,204
44,Chepa,140,62,202
45,Matata Hakuna,122,74,196
46,Loyal Sushi,128,48,176
47,Bittlein23,100,69,169
48,Macaco,112,56,168
49,Bittlein75,108,54,162
50,Chepa 2.0,118,41,159
51,Carapotato,102,41,143
